shoe_name,url,brand,review_date,price,total_score,audience_score,user_rating,expert_rating,ranking,popularity,ranking_percentile,popularity_percentile,pros,cons,awards,rr_verdict,num_pros,num_cons,num_awards,user_review_count,expert_review_count,terrain,arch,arch_support,use,pace,season,shoe_weight_g,toe_drop_mm,foot_height_mm,heel_stack_lab,heel_lab,forefoot_lab,midsole_softness,difference_in_midsole_softness_in_cold,stiffness,difference_in_stiffness_in_cold,torsional_rigidity,heel_counter_stiffness,toebox_durability,heel_padding_durability,outsole_durability,breathability,lightweight,plate,rocker,waterproofing,size,width_fit,toebox_width,widths_available,orthotic_friendly,for_heavy_runners,drop_mm,drop_lab,weight_lab,strike_pattern,trail_terrain,lug_depth,has_carbon_plate,removable_insole,toe_drop,foot_height,shoe_weight
Altra Paradigm 7,https://runrepeat.com/altra-paradigm-7,Altra,2023-10-05,170.0,82.0,82.0,80.0,85.0,251.0,124.0,Bottom 22%,Top 39%,"['Exceptional space for toe splay', ' Highly stable and supportive', ' Really light', ' Features Ego Max foam for added comfort', ' Innerflex technology promotes natural midfoot striking', ' Outstanding durability', ' Versatile for walking or gym use', ' Genuine zero-drop design!']","['Becomes uncomfortably firm and stiff in cold weather', ' Priced on the higher end of the spectrum at $170', ' Not suitable for fast-paced running']","['Top pick in best zero drop running shoes', ' Top pick in best Altra running shoes']","The Altra Paradigm 7 shines as a zero-drop daily trainer, appealing to both neutral runners and those with mild pronation. Its standout feature, the abundant Ego Max cushioning, ensures a perfect balance of responsive and cushioned ride. While the foot-shaped upper allows for amazing toe splay for everyone, we found the added stability makes this model particularly welcoming for newcomers to the Altra brand. However, the shoe comes at a higher price point and is not optimized for tempo training.",8,3,2,1800.0,7.0,Road,Stability,Stability,"['Jogging ', ' Treadmill ', ' Walking']",['Daily running'],"Summer, All seasons",279.0,0.0,30.0,,"27.6 mm, 30.0 mm","27.5 mm, 30.0 mm",Soft,Big,Moderate,Big,Moderate,Flexible,Decent,Decent,Good,Breathable,✗,,,,True to size,Wide,Wide,"Normal, Wide",✓,,0.05,"0.1 mm, 0.0 mm","9.3 oz / 264g, 9.8 oz / 279g",Mid/forefoot,,,False,✓,0 mm,30 mm,Men: 9.8 oz / 279g | Women: 8 oz / 226g
Altra Provision 6,https://runrepeat.com/altra-provision-6,Altra,2022-03-23,140.0,86.0,86.0,85.0,89.0,323.0,495.0,Bottom 42%,Bottom 11%,"['Very light for a stability shoe', ' Great for wider feet', ' Ingenious stability system', ' Incredible grip', ' More stability in the outsole', ' Good cushioning for a zero drop shoe', ' Great to have in a rotation', ' Good durability', ' Consistent flex in all conditions']","['Forefoot may be too wide for some', ' Getting a good heel lock can be hard', ' Orthotics may not fit properly']",[''],"I am pleased with this mid-cushioned, zero-drop stability shoe that continues Altra’s core line while continuing to add some unique features. If you’re new to the zero-drop scene, I’ve got you covered in this review too.",9,3,1,5897.0,7.0,Road,Stability,Stability,"['Jogging ', ' Walking']",['Daily running'],-,307.0,0.0,28.0,,28.0 mm,28.0 mm,-,-,Moderate,Big,-,-,-,-,-,-,,,✗,,Slightly small,Medium,-,Normal,✗,,0.0,0.0 mm,"9.1 oz / 259g, 10.8 oz / 307g",Mid/forefoot,,,False,✗,0 mm,28 mm,10.8 oz / 307g
Altra Provision 7,https://runrepeat.com/altra-provision-7,Altra,2024-01-24,140.0,83.0,83.0,86.0,87.0,424.0,409.0,Bottom 24%,Bottom 26%,"['Snug and secure lockdown', ' Foot-shaped toe box for natural toe splay', ' Stable without being intrusive', ' Excellent traction across various surfaces', ' Highly breathable design', ' Ideal for a wide range of paces', ' Performs well on light trails', ' Good durability']","['Midsole might feel overly firm for certain runners', ' Unexpectedly narrow upper', ' Limited energy return']","['Top pick in best zero drop running shoes (2024)', ' Top pick in best Altra running shoes (2024)']","The Altra Provision 7 steps up the game with a lighter, more stable build than its predecessors. We think it's a perfect fit for those who love low-drop, mid-stability trainers, though you should be comfortable with its slightly firmer midsole feel. Additionally, in our lab tests, we noticed the heel-to-toe drop differed slightly from the advertised 0 mm. Nevertheless, we feel its fair price and impressive features make it a standout choice for runners who want a low-drop shoe with a bit of support for their daily runs.",8,3,2,3322.0,4.0,Road,Stability,Stability,"['Gym ', ' Jogging ', ' Treadmill ', ' Walking ', ' All-day wear']",['Daily running'],"Summer, All seasons",274.0,0.0,28.0,,"32.6 mm, 28.0 mm","27.8 mm, 28.0 mm",Balanced,Small,Moderate,Small,Stiff,Flexible,Decent,Good,Good,Breathable,,,✗,,True to size,Narrow,Wide,Normal,✓,,2.4,"4.8 mm, 0.0 mm","9.1 oz / 259g, 9.7 oz / 274g",Mid/forefoot,,,False,✓,0 mm,28 mm,Men: 9.7 oz / 274g | Women: 8.3 oz / 234g
Altra Provision 8,https://runrepeat.com/altra-provision-8,Altra,2024-09-09,140.0,84.0,84.0,82.0,88.0,227.0,232.0,Bottom 29%,Bottom 28%,"['Authentic zero-drop design', ' Exceptional stability at all paces', ' Anatomically shaped toebox', ' Competitive pricing', ' Durable', ' flexible outsole', ' Versatile for daily wear', ' Great for daily mileage']","['Heel padding durability', ' Weight increase from v7', ' Needs more energy return']",['Top pick in best Altra running shoes'],"The Altra Provision 8 continues to impress as a stability trainer that Altra has slightly refined, maintaining its broad appeal despite a slight increase in weight. From our tests, it provides steady, durable performance, though it might not excite those looking for innovation. This version maintains a true zero-drop design, contributing to a natural running posture, and its flexible design ensures it serves well as a sturdy all-rounder, perfect for everyday miles and daily life.",8,3,1,400.0,5.0,Road,Stability,Stability,"['Gym ', ' Jogging ', ' Treadmill ', ' Walking']",['Daily running'],All seasons,289.0,0.0,28.0,,"26.0 mm, 28.0 mm","25.8 mm, 28.0 mm",Balanced,Normal,Moderate,Small,Moderate,Flexible,Decent,Decent,Good,Moderate,✗,,,,True to size,Medium,Wide,Normal,✓,,0.1,"0.2 mm, 0.0 mm","9.6 oz / 273g, 10.2 oz / 289g",Mid/forefoot,,,False,✓,0 mm,28 mm,Men: 10.2 oz / 289g | Women: 8.3 oz / 234g
Altra Rivera 2,https://runrepeat.com/altra-rivera-2,Altra,2022-03-03,130.0,85.0,85.0,85.0,85.0,392.0,499.0,Bottom 29%,Bottom 10%,"['Responsive on faster runs', ' Stable on uneven surfaces', ' Comfortable for long days', ' Lightweight', ' Form-fitting wrap', ' Spacious toe box', ' Visually appealing', ' Soft and stretchy upper']","['Not a real zero-drop!', ' A bit slimmer than the average Altra', ' Firmer than the Rivera 1']",['Top pick in best low drop running shoes (2023)'],"Whether we go fast or take it easy on our training runs, the Altra Rivera 2 is a do-it-all daily trainer that's lively and energetic. It also delivers a natural-feeling run with its zero-drop design. On top of this, we established that it's a trusty pick for runners who want a light, well-cushioned running shoe that can gobble up long miles on the road.",8,3,1,5473.0,5.0,Road,Neutral,Neutral,"['Jogging ', ' Walking']","['Daily running', ' Tempo']",-,240.0,0.0,26.0,,"24.6 mm, 26.0 mm","21.8 mm, 26.0 mm",Soft,Big,Flexible,Big,Flexible,Flexible,-,-,-,-,✓,,,,Half size small,Medium,-,Normal,✓,,1.4,"2.8 mm, 0.0 mm","8.6 oz / 243g, 8.5 oz / 240g",Mid/forefoot,,,False,✓,0 mm,26 mm,Men: 8.5 oz / 240g | Women: 6.9 oz / 196g
Altra Rivera 3,https://runrepeat.com/altra-rivera-3,Altra,2024-01-22,140.0,88.0,88.0,88.0,88.0,244.0,343.0,Top 44%,Bottom 38%,"['Great for easy runs', ' Superb comfort', ' Plush cushioning', ' Peppy and responsive', ' Flexible and forgiving ride', ' Unhindered and smooth strides', ' Toebox easily accommodates wide feet', ' Works great as a walking shoe', ' Can go sockless']","['Lockdown needs a lace lock', ' Laces get untied easily', ' Not great for speedwork']","['Top pick in best zero drop running shoes', ' Top pick in best low drop running shoes', ' Top 28% in Altra running shoes']","The Rivera 3 delivers a velvety-smooth ride that exemplifies what we want from a daily trainer. From the super comfy and plush midsole to the generously padded and roomy interior, these neutral runners from Altra kept us happy for miles on end during testing. With only a few minor nitpicks to gripe about, they're a great introduction to the zero-drop experience.",9,3,3,4155.0,7.0,Road,Neutral,Neutral,"['Jogging ', ' Walking']",['Daily running'],All seasons,278.0,0.0,28.0,,"28.4 mm, 28.0 mm","26.7 mm, 28.0 mm",Soft,Normal,Moderate,Small,Moderate,Moderate,Bad,Good,Good,Moderate,✗,,,,Slightly small,Medium,Wide,Normal,✓,,0.85,"1.7 mm, 0.0 mm","9.1 oz / 257g, 9.8 oz / 278g",Mid/forefoot,,,False,✓,0 mm,28 mm,Men: 9.8 oz / 278g | Women: 8.2 oz / 232g
Altra Rivera 4,https://runrepeat.com/altra-rivera-4,Altra,2024-04-08,130.0,85.0,85.0,85.0,86.0,204.0,240.0,Bottom 37%,Bottom 25%,"['Good impact dampening', ' Responsive ride', ' Can pick up the pace', ' Roomy toe zone', ' Flexible and comfy', ' Pleasantly lightweight', ' Feels stable', ' Reliable traction', ' Great walking shoe', ' No break-in required']","['Runs a little warm', ' Unruly laces', ' Limited colorways']",[''],"The Rivera 4 is a moderately cushioned neutral daily trainer from Altra, the zero-drop specialists, that shines when it comes to versatility. This workhorse of a shoe never let us down whether we took it out for low-intensity jogs, speedy tempo sessions, long-distance efforts, or even pleasant strolls about town. There's so much we enjoyed about this shoe that brought the fun to our daily runs that we're willing to look past the subpar ventilation and other minor nitpicks we had while testing the Rivera 4.",10,3,1,574.0,5.0,Road,Neutral,Neutral,"['Jogging ', ' Walking']","['Daily running', ' Tempo']",All seasons,283.0,0.0,28.0,,"28.4 mm, 28.0 mm","28.0 mm, 28.0 mm",Soft,Normal,Flexible,Normal,Flexible,Flexible,Decent,Bad,Good,Moderate,✓,,,,True to size,Narrow,Wide,Normal,✓,,0.2,"0.4 mm, 0.0 mm","8.3 oz / 235g, 10 oz / 283g",Mid/forefoot,,,False,✓,0 mm,28 mm,Men: 10 oz / 283g | Women: 7.9 oz / 223g
Altra Superior 6,https://runrepeat.com/altra-superior-6,Altra,2024-01-30,130.0,78.0,78.0,73.0,86.0,299.0,212.0,Bottom 7%,Bottom 34%,"['Exceptional ground feel for a more connected run', ' Nimble and quick', ' Excellent breathability', ' Upper and tongue designed for maximum comfort', ' Durable outsole with reliable grip', ' Remarkable stability', ' Comfortable for all-day wear', ' Reasonably priced']","['Lacks a rock plate', ' Not ideal for long distances', ' The upper could be more durable']",['Top pick in best Altra trail running shoes'],"The Superior 6 from Altra belongs to their line of zero-drop, low-stack trail shoes. We were excited to see it maintain its commitment to a grounded feel, offering stability and agility on various surfaces and inclines. However, we noticed in our lab tests that it sheds the optional StoneGuard insert found in its predecessors. We also found it slightly heavy for its stack height and the ride might be too firm for some. Yet, it stands out as a great choice for trail enthusiasts wanting a natural running experience without breaking the bank.",8,3,1,1711.0,7.0,Trail,Neutral,Neutral,"['Spartan race (OCR)', ' Hiking']",,"Summer, All seasons",258.0,0.0,20.5,"22.1 mm, 20.5 mm",,"22.0 mm, 20.5 mm",Balanced,Normal,Flexible,Normal,Moderate,Flexible,Very bad,Decent,Good,Breathable,,✗,,,Slightly small,Medium,Wide,Normal,✓,,0.05,"0.1 mm, 0.0 mm","9.6 oz / 272g, 9.1 oz / 258g",Mid/forefoot,"Light, Moderate",3.3 mm,False,✓,0 mm,20.5 mm,Men: 9.1 oz / 258g | Women: 8.3 oz / 235g
Altra Timp 4,https://runrepeat.com/altra-timp-4,Altra,2022-04-09,160.0,78.0,78.0,75.0,84.0,522.0,411.0,Bottom 6%,Bottom 26%,"['Grippy on wet trails and steep descents', ' Bouncy and responsive', ' Natural-feeling ride', ' Pillowy landing', ' Dampens impact', ' Wide toe box', ' Secure lockdown', ' Drains fast', ' Breezy under warm conditions']","['Way pricier than the Timp 3', ' Lacks stability on technical trails']",['Top pick in best Altra trail running shoes (2023)'],"A do-everything shoe, the Timp 4 from Altra is positioned as the brand's trail runner that can go the distance. With its plush and comfort-oriented construction, it delivers a soft and forgiving ride on our easy days out on the trail. Whether you're running on light or moderately technical trails, we can highly recommend the Altra Timp 4.",9,2,1,5588.0,17.0,Trail,Neutral,Neutral,[''],,All seasons,300.0,0.0,30.0,"29.0 mm, 30.0 mm",,"28.9 mm, 30.0 mm",Balanced,Big,Moderate,Big,Flexible,Flexible,-,-,-,Moderate,,✗,,,True to size,Medium,-,"Normal, Wide",✓,,0.05,"0.1 mm, 0.0 mm","11.1 oz / 316g, 10.6 oz / 300g",Mid/forefoot,"Light, Moderate",2.9 mm,False,✓,0 mm,30 mm,Men: 10.6 oz / 300g | Women: 9.2 oz / 262g
Altra Timp 5,https://runrepeat.com/altra-timp-5,Altra,2024-04-04,155.0,80.0,80.0,79.0,84.0,275.0,125.0,Bottom 15%,Top 39%,"['Vibram Megagrip outsole!', ' Massive weight improvement', ' Exceptionally stable', ' True zero drop', ' Ample cushioning', ' Secure fit', ' Wide', ' foot-shaped toebox', ' Versatile']","['Firmer midsole', ' Not for heel strikers']",['Top pick in best Altra trail running shoes'],"The Altra Timp 5 marks a significant leap forward, debuting a Vibram Megagrip outsole and achieving an impressive weight reduction from v4. At its heart, it maintains the zero-drop philosophy, and it's still great for daily trail runs, particularly on less demanding scenarios. In our tests, we noticed the ride leans toward the firm side, and for some minimalist enthusiasts, the Timp 5 probably lacks enough ground feel. Nevertheless, we think it's a stellar upgrade at a reasonable price point, providing a superb zero-drop choice for trail runners.",9,2,1,1867.0,24.0,Trail,Neutral,Neutral,['Hiking'],,All seasons,277.0,0.0,29.0,"28.6 mm, 29.0 mm",,"28.7 mm, 29.0 mm",Balanced,Small,Moderate,Small,Stiff,Moderate,Good,Decent,Good,Moderate,,Rock plate,,,Slightly small,Wide,Wide,Normal,✓,,0.05,"-0.1 mm, 0.0 mm","9.5 oz / 269g, 9.8 oz / 277g",Mid/forefoot,"Light, Moderate",3.0 mm,False,✓,0 mm,29 mm,Men: 9.8 oz / 277g | Women: 8.3 oz / 235g
Altra Torin 6,https://runrepeat.com/altra-torin-6,Altra,2022-07-13,150.0,80.0,80.0,76.0,89.0,487.0,319.0,Bottom 12%,Bottom 42%,"['Very well-cushioned ride', "" Won't let you feel the ground"", ' Has some bounce to it', ' Stable for long miles', ' Upper comfort is spot on!', ' Highly breathable', ' Holds the foot in place', ' Heel hold is brilliant', ' Tongue is soft', ' Durable build']",['Not the widest Altra toebox'],[''],We are impressed with the 6th version of the Altra Torin because it is a road running shoe that's ready to chomp the miles up ahead. It revealed itself to us as a very cushioned and comfortable shoe that feels like home for the foot. But what's more is that the Torin 6 also kept our strides alive and kicking.,10,1,1,13269.0,7.0,Road,Neutral,Neutral,"['Jogging ', ' Treadmill ', ' Walking']",['Daily running'],"Summer, All seasons",280.0,,28.0,,"25.1 mm, 28.0 mm","25.1 mm, 28.0 mm",Balanced,Small,Moderate,Big,Moderate,Flexible,-,-,-,Breathable,✗,,,,Slightly small,Medium,-,"Normal, Wide",✓,,0.0,0.0 mm,"9 oz / 254g, 9.9 oz / 280g",Mid/forefoot,,,False,✓,,28 mm,Men: 9.9 oz / 280g | Women: 8.3 oz / 234g
Altra Torin 7,https://runrepeat.com/altra-torin-7,Altra,2023-09-11,150.0,80.0,80.0,77.0,87.0,493.0,147.0,Bottom 11%,Top 27%,"['Pleasantly lightweight', ' Versatile enough for tempo session', ' long runs', ' or easy days', ' Responsive and energetic midsole', ' Good impact protection', ' Flexible and comfortable ride', ' Very breathable', ' Feels stable underfoot', ' Solid midfoot lockdown', ' No lace bite', ' Great traction over various surfaces', ' Suitable for wide feet', ' Can go sockless']","['Not ideal for heel strikers', ' Outsole could be more durable', ' Upper feels snug despite being wide']","['Top pick in best low drop running shoes (2024)', ' Top 27% most popular running shoes']","The Altra Torin 7 is a zero drop daily trainer that can tackle pretty much whatever challenge we throw at it. The midsole is energetic enough to pick up the pace for tempo sessions with ease while also being well cushioned and protective enough to keep us going during longer efforts. It’s also pleasantly padded, lightweight and breathable to boot, making the Torin 7 a comfy yet reliable workhorse of a shoe that bridges the gap between barfoot minimalism and max-cushioned comfort.",14,3,2,6728.0,23.0,Road,Neutral,Neutral,"['Jogging ', ' Treadmill ', ' Walking']","['Daily running', ' Tempo']","Summer, All seasons",278.0,0.0,30.0,,"27.6 mm, 30.0 mm","28.4 mm, 30.0 mm",Soft,Big,Moderate,Big,Moderate,Moderate,Decent,Decent,Decent,Breathable,,,,,True to size,Wide,Wide,"Normal, Wide",✓,,0.4,"-0.8 mm, 0.0 mm","9 oz / 255g, 9.8 oz / 278g",Mid/forefoot,,,False,✓,0 mm,30 mm,Men: 9.8 oz / 278g | Women: 8.1 oz / 230g
Altra Torin 8,https://runrepeat.com/altra-torin-8,Altra,2025-04-23,150.0,77.0,77.0,81.0,86.0,303.0,79.0,Bottom 6%,Top 25%,"['True zero-drop midsole', ' Foot-shaped', ' wide toebox', ' Excellent durability', ' Improved heel lockdown', ' Plush step-in comfort', ' Keeps the same price', ' Can be used for walking', ' Amazing for forefoot strikers', ' Improved outsole', ' Stable']","['Weight gain compared to v7', ' Not for rearfoot strikers', ' Needs a better foam ASAP', ' Non-gusseted tongue']","['Top pick in best low drop running shoes', ' Top 25% most popular running shoes']","The Altra Torin 8 took longer than expected to arrive, but we think the wait paid off—mostly. The heel lockdown is dialed in, the toebox is wide, the upper feels plush, and the grippy outsole is more durable than ever. On our runs, the midsole delivered a stable, grounded ride, though we found the foam still lacks pop and energy return. We also noted the added weight compared to version 7, which takes away some of the fun and makes it a less exciting pick for tempo sessions or fast-paced miles.",11,4,2,39.0,16.0,Road,Neutral,Neutral,"['Jogging ', ' Walking']",['Daily running'],All seasons,287.0,0.0,30.0,,"27.6 mm, 30.0 mm","27.7 mm, 30.0 mm",Balanced,Normal,-,-,Moderate,Stiff,Good,Good,Good,Moderate,✗,,,,True to size,Medium,Wide,"Normal, Wide",✓,,0.05,"-0.1 mm, 0.0 mm","9.7 oz / 275g, 10.1 oz / 287g",Mid/forefoot,,,False,✓,0 mm,30 mm,Men: 10.1 oz / 287g | Women: 8.4 oz / 238g
Altra Vanish Carbon,https://runrepeat.com/altra-vanish-carbon,Altra,2024-02-01,240.0,83.0,83.0,84.0,83.0,421.0,408.0,Bottom 24%,Bottom 26%,"['Runs fast', ' Smooth heel-to-toe transitions', ' Lots of protective foam underfoot', ' Feels responsive', ' Propulsive toe rocker', ' Relatively lightweight', ' Stable during sharp turns', ' Lockdown fit', ' Roomy toe box', ' Accommodates wide feet', ' Breathable on hot days']","['Expensive', ' Outsole is extremely flimsy', ' Could be lighter for a super shoe', ' Somewhat firm cushioning', "" Laces don't stay tied""]",[''],"For their first foray into the realm of carbon-plated super shoes, we're impressed with how much Altra got right with the Vanish Carbon. The shoe's half plate and supercritical Ego Pro midsole foam work in tandem to propel us forward, bringing efficiency to our strides, while the incredibly grippy outsole keeps us feeling surefooted even when cornering at high speeds. The biggest surprise we discovered while testing the shoe, however, is its misleading drop height which will have zero-drop absolutists shaking their fists in bewilderment. It's also quite pricey, especially for a shoe that we'd reserve for race days due to the questionable durability of the EVA outsole.",11,5,1,748.0,25.0,Road,Neutral,Neutral,['Treadmill'],['Competition'],"Summer, All seasons",204.0,0.0,33.0,,"33.7 mm, 33.0 mm","28.3 mm, 33.0 mm",Balanced,Small,Stiff,Big,Stiff,Flexible,Bad,Good,Bad,Breathable,✓,Carbon plate,✗,,Slightly small,Narrow,Wide,Normal,✓,,2.7,"5.4 mm, 0.0 mm","7.8 oz / 221g, 7.2 oz / 204g",Mid/forefoot,,,True,✓,0 mm,33 mm,7.2 oz / 204g
Altra Vanish Carbon 2,https://runrepeat.com/altra-vanish-carbon-2,Altra,2024-08-14,260.0,90.0,90.0,93.0,83.0,65.0,220.0,Top 21%,Bottom 32%,"['Ideal for midfoot strikers', ' Unique racing shoe', ' Anatomically shaped toebox', ' Superior breathability', ' Full-length carbon plate', ' Excellent for tempo training too', ' Amazing tongue', ' Significant upgrade from v1']","['Insufficient energy return', ' Not a real zero-drop shoe', ' Durability concerns', ' High price tag']","['Top pick in best Altra running shoes', ' Top 22% in road running shoes', ' Top 17% in Altra running shoes']","The Vanish Carbon 2 signifies a major progression from its previous version, with enhancements all across the board. Although there's still room for Altra to improve the energy return to achieve supershoe status, we were captivated by its superb upper, curved carbon plate and extensive toe splay. These qualities, together with the low-drop geometry, establish it as a fantastic option for forefoot and midfoot strikers looking for a comfortable, yet expensive, racing shoe.",8,4,3,77.0,14.0,Road,Neutral,Neutral,['Treadmill'],"['Competition', ' Tempo']","Summer, All seasons",229.0,0.0,36.0,,"33.1 mm, 36.0 mm","29.4 mm, 36.0 mm",Balanced,Small,Moderate,Small,Stiff,Flexible,Bad,Good,Decent,Breathable,✓,Carbon plate,✓,,Half size small,Medium,Wide,Normal,✓,,1.85,"3.7 mm, 0.0 mm","7.4 oz / 210g, 8.1 oz / 229g",Mid/forefoot,,,True,✓,0 mm,36 mm,Men: 8.1 oz / 229g | Women: 5.8 oz / 164g
Altra VIA Olympus,https://runrepeat.com/altra-via-olympus,Altra,2022-12-07,170.0,85.0,85.0,84.0,87.0,384.0,250.0,Bottom 31%,Top 45%,"['Comfortable and premium-feeling upper', ' Roomy', ' unmistakably-Altra fit', ' Secure lockdown even for narrow feet', ' Smooth and responsive ride', ' Good for any distance at an easy pace', ' Effective', ' but not obtrusive', ' rocker', ' Copious amount of padding', ' Breathable', ' Absorbs impact well']","['Cushioning on the firm side', ' but a toss-up on how firm', ' Doesn’t feel like a zero-drop shoe', ' Substantial break-in period', ' On the heavier side']",[''],"The Altra VIA Olympus is the max-cushioned road runner that we have been waiting for. Though it managed to rain on its own parade with a firmer-than-expected midsole, we found that this shoe more than made up for it with a comfy upper, stable platform, smooth ride, and wide fit.",12,5,1,5991.0,14.0,Road,Neutral,Neutral,"['Jogging ', ' Treadmill ', ' Walking ', ' All-day wear']",['Daily running'],All seasons,312.0,0.0,33.0,,"34.2 mm, 33.0 mm","32.6 mm, 33.0 mm",Balanced,Big,Stiff,Small,Stiff,Flexible,-,Bad,-,Moderate,✗,,,,Slightly small,Medium,-,Normal,✓,,0.8,"1.6 mm, 0.0 mm","10.5 oz / 299g, 11 oz / 312g",Mid/forefoot,,,False,✓,0 mm,33 mm,Men: 11 oz / 312g | Women: 9 oz / 255g
Altra VIA Olympus 2,https://runrepeat.com/altra-via-olympus-2,Altra,2024-04-02,165.0,85.0,85.0,85.0,83.0,216.0,147.0,Bottom 33%,Top 46%,"['Incredibly roomy toebox', ' Authentic zero-drop design', ' Extremely cushy and soft midsole', ' Superb all-around durability', ' Cozy upper', ' Remarkably stable', ' Ideal for long runs']","['Limited ventilation', ' Tongue not gusseted', ' Still a bit heavy']","['Top pick in best zero drop running shoes', ' Top pick in best Altra running shoes']","The VIA Olympus 2 marks a notable leap forward from Altra, enhancing cushioning and durability while maintaining the beloved features of its predecessor—spacious fit, slightly rockered geometry, and unparalleled comfort. We were thrilled by its updated plush midsole, though we noted it's still on the heavier side and the tongue could benefit from a gusset. Despite these minor points, we are convinced that for zero-drop runners seeking a reliable companion for long runs, the VIA Olympus 2 is unmatched.",7,3,2,2444.0,12.0,Road,Neutral,Neutral,"['Jogging ', ' Walking ', ' All-day wear']",['Daily running'],All seasons,297.0,0.0,33.0,,"34.8 mm, 33.0 mm","35.0 mm, 33.0 mm",Soft,Small,Stiff,Small,Stiff,Moderate,Good,Good,Good,Warm,✗,,,,True to size,Wide,Wide,Normal,✓,,0.1,"-0.2 mm, 0.0 mm","10.4 oz / 295g, 10.5 oz / 297g",Mid/forefoot,,,False,✓,0 mm,33 mm,Men: 10.5 oz / 297g | Women: 9 oz / 255g
APL Streamline,https://runrepeat.com/apl-streamline,APL,2021-09-16,300.0,91.0,91.0,95.0,90.0,31.0,300.0,Top 10%,Bottom 7%,"['Enjoyable ride', ' Secure lockdown', ' Breathable', ' Grippy outsole', ' Lightweight']","['Price', ' price', ' price', ' Stiff upper', ' Lacing system']","['Top 13% in road running shoes', ' Top 18% in Running shoes for shin splints']","Lifestyle brand turns to performance running? A $300 running shoe from APL (Athletic Propulsion Labs)!!! While it also happens to be the most expensive trainer on the market, I found that it doesn’t even come with a carbon plate… All in all, I think it is all right for the first attempt from a non-running brand. But it does have flaws, the biggest being the $300 price tag.",5,5,2,3098.0,1.0,Road,Neutral,Neutral,"['Jogging ', ' Walking ', ' All-day wear']","['Daily running', ' Tempo']",-,261.0,8.0,22.0,,"36.7 mm, 30.0 mm","25.9 mm, 22.0 mm",-,-,Stiff,Big,Stiff,Flexible,-,-,-,-,,,✗,,Half size small,Narrow,-,Normal,✗,,9.4,"10.8 mm, 8.0 mm","9.6 oz / 272g, 9.2 oz / 261g",Heel,,,False,✗,8 mm,22 mm,Men: 9.2 oz / 261g | Women: 7.3 oz / 207g
ASICS Dynablast 3,https://runrepeat.com/asics-dynablast-3,ASICS,2024-02-22,100.0,83.0,83.0,89.0,78.0,445.0,500.0,Bottom 20%,Bottom 10%,"['Light and nimble', ' Budget-friendly', ' Nicely-cushioned landings', ' Responsive trampoline-like ride', ' Premium feeling comfort', ' Strong and grippy outsole', ' Performs consistently in the cold', ' Durable upper construction', ' Roomy toebox', ' Good lockdown', ' Comfy straight out of the box']","['Lackluster breathability', ' Tongue slips to the side', ' Lace bite']",['Top pick in best ASICS running shoes (2024)'],"The ASICS Dynablast 3 maintains the comfortable and responsive ride we came to know and love about its predecessor. With even more cushy and responsive FF Blast foam in its rockered midsole, we couldn't get enough of taking this shoe out on the road. From shorter to longer runs and slower to faster training sessions, this neutral daily trainer coddled our feet with levels of comfort we normally expect with a much higher price tag. While it may be a little stuffy for warm days, its performance in our freezer tests makes it a worthy cool-weather companion.",11,3,1,2192.0,4.0,Road,Neutral,Neutral,"['Jogging ', ' For beginners']",['Daily running'],All seasons,258.0,8.0,23.5,,"35.7 mm, 31.5 mm","26.0 mm, 23.5 mm",Balanced,Small,Moderate,Normal,Moderate,Stiff,Good,Decent,Good,Warm,✓,,,,Slightly large,Medium,Wide,Normal,✓,,8.85,"9.7 mm, 8.0 mm","8.7 oz / 248g, 9.1 oz / 258g","Heel, Mid/forefoot",,,False,✓,8 mm,23.5 mm,9.1 oz / 258g
ASICS Dynablast 4,https://runrepeat.com/asics-dynablast-4,ASICS,2024-04-15,110.0,92.0,92.0,92.0,100.0,15.0,251.0,Top 5%,Bottom 22%,"['Versatile and comfy', ' Responsive FlyteFoam Blast midsole', ' Great for winter runs', ' Quite stable for a neutral shoe', ' Flexible and comfy ride', ' Impressively durable upper', ' Reliable traction', ' Good for gym days and general fitness activities', ' No break-in needed', ' Easy on the wallet', ' Sustainable design']","['Not for wide feet', ' Almost no airflow', ' Very thin tongue']","['Top pick in best ASICS running shoes (2024)', ' Top 6% in road running shoes', ' Top 17% in ASICS running shoes']","The Dynablast 4 is a neutral road shoe offering from ASICS that sets a high standard for versatile daily trainers on a budget. The FF Blast midsole foam doesn't just feel comfy during our test runs but has a nice energetic pop that allows us to pick up the pace or gobble up miles at will. What's more, it's flexible and forgiving right out of the box, making for a pleasant ride that leaves us feeling fresh even after higher-intensity sessions. While we did find its breathability to be lacking in our smoke test, making it a little too toasty for summer runs, the shoe's performance in our freezer tests makes it a great option for cold-weather runners.",11,3,3,100.0,1.0,Road,Neutral,Neutral,['Jogging'],['Daily running'],Winter,264.0,8.0,26.0,,"32.6 mm, 34.0 mm","26.2 mm, 26.0 mm",Balanced,Small,Moderate,Small,Moderate,Stiff,Good,Good,Good,Warm,,,✗,,True to size,Narrow,Medium,"Normal, Wide",✓,,7.2,"6.4 mm, 8.0 mm","9.2 oz / 262g, 9.3 oz / 264g",Mid/forefoot,,,False,✓,8 mm,Men: 26 mm | Women: 15 mm,Men: 9.3 oz / 264g | Women: 7.9 oz / 225g
